community_id,size,avg_risk_score,high_risk_count,avg_degree,avg_betweenness,avg_neighbor_risk,high_risk_pct,is_high_risk_community
0,4716,0.44005748354788216,1893,3.4130619168787106,0.0,0.43753593233955057,40.13994910941476,False
1,1053,0.42084286097115015,446,3.213675213675214,0.0,0.41372233670812647,42.35517568850902,False
2,2555,0.42391994463253596,1005,3.1702544031311155,0.0,0.44215940861830944,39.33463796477495,False
3,2,0.3793993568965792,0,2.0,0.0,0.48541142135677123,0.0,False
4,2,0.809646217764229,2,1.0,0.0,0.809646217764229,100.0,True
5,2132,0.44095149921137855,874,3.0675422138836774,0.0,0.4701683134781002,40.99437148217636,False
6,376,0.3694776421806297,117,2.6595744680851063,0.0,0.36268256875235594,31.117021276595747,False
7,4771,0.380738346827073,1637,6.001676797317124,0.0,0.44705623442458536,34.311465101655834,False
8,2,0.8201668339979218,2,1.0,0.0,0.8201668339979218,100.0,True
9,2,0.7339683055428932,2,1.0,0.0,0.7339683055428932,100.0,True
10,329,0.8159838010762912,283,2.7416413373860182,0.0,0.7041004066294434,86.01823708206688,True
11,2381,0.40763697282948974,864,3.3053338933221337,0.0,0.42572362446647055,36.28727425451491,False
12,3,0.7326561349917918,2,1.0,0.0,0.9559622665034357,66.66666666666666,True
13,2,0.6300373757488957,2,1.0,0.0,0.6300373757488957,100.0,True
14,210,0.4114223609246339,79,3.0476190476190474,0.0,0.348624133103319,37.61904761904762,False
15,2,0.3081609804906156,0,1.0,0.0,0.3081609804906156,0.0,False
16,701,0.4121107726986332,272,2.9472182596291012,0.0,0.4021602402312873,38.80171184022825,False
17,1779,0.41165444644021854,670,3.2085441259134346,0.0,0.4277232708620562,37.66160764474424,False
18,1096,0.4341127951615318,440,3.1195255474452557,0.0,0.46929798072296997,40.14598540145985,False
19,365,0.4992550950858903,178,2.8602739726027395,0.0,0.5204796433733362,48.76712328767123,False
20,2,0.007464075099084552,0,1.0,0.0,0.007464075099084552,0.0,False
21,1691,0.4244309655368009,670,2.982850384387936,0.0,0.4241924067958274,39.62152572442342,False
22,723,0.40461340157786935,259,3.1023513139695713,0.0,0.388913501629249,35.82295988934993,False
23,1789,0.39772638126498816,639,3.460592509782001,0.0,0.40635868162678584,35.718278367803244,False
24,2,0.6578605452009046,2,1.0,0.0,0.6578605452009046,100.0,True
25,369,0.5008019113388893,178,2.94579945799458,0.0,0.50420660994287,48.23848238482385,False
